연번,구분1,구분2,지역,설립기관,운영구분,공기업유형,지방공기업명
1,광역,수도권,서울특별시,서울특별시,직영,상수도,서울특별시상수도
2,광역,수도권,서울특별시,서울특별시,직영,하수도,서울특별시하수도
3,광역,수도권,서울특별시,서울특별시,간접,도시철도공사,서울교통공사
4,광역,수도권,서울특별시,서울특별시,간접,도시개발공사,서울주택도시공사
5,광역,수도권,서울특별시,서울특별시,간접,기타공사,서울에너지공사
6,광역,수도권,서울특별시,서울특별시,간접,기타공사,서울농수산식품공사
7,광역,수도권,서울특별시,서울특별시,간접,지방공단,서울시설공단
8,광역,수도권,서울특별시,서울특별시,간접,지방공단,서울물재생시설공단
9,기초,수도권,서울특별시,서울특별시 종로구,간접,지방공단,종로구시설관리공단
10,기초,수도권,서울특별시,서울특별시 중구,간접,지방공단,중구시설관리공단
11,기초,수도권,서울특별시,서울특별시 용산구,간접,지방공단,용산구시설관리공단
12,기초,수도권,서울특별시,서울특별시 성동구,간접,지방공단,성동구도시관리공단(시설)
13,기초,수도권,서울특별시,서울특별시 광진구,간접,지방공단,광진구시설관리공단
14,기초,수도권,서울특별시,서울특별시 동대문구,간접,지방공단,동대문구시설관리공단
15,기초,수도권,서울특별시,서울특별시 중랑구,간접,지방공단,중랑구시설관리공단
16,기초,수도권,서울특별시,서울특별시 성북구,간접,지방공단,성북구도시관리공단(시설)
17,기초,수도권,서울특별시,서울특별시 강북구,간접,지방공단,강북구도시관리공단(시설)
18,기초,수도권,서울특별시,서울특별시 도봉구,간접,지방공단,도봉구시설관리공단
19,기초,수도권,서울특별시,서울특별시 노원구,간접,지방공단,노원구시설관리공단(시설)
20,기초,수도권,서울특별시,서울특별시 은평구,간접,지방공단,은평구시설관리공단
21,기초,수도권,서울특별시,서울특별시 서대문구,간접,지방공단,서대문구도시관리공단(시설)
22,기초,수도권,서울특별시,서울특별시 마포구,간접,지방공단,마포구시설관리공단
23,기초,수도권,서울특별시,서울특별시 양천구,간접,지방공단,양천구시설관리공단
24,기초,수도권,서울특별시,서울특별시 강서구,간접,지방공단,강서구시설관리공단
25,기초,수도권,서울특별시,서울특별시 구로구,간접,지방공단,구로구시설관리공단
26,기초,수도권,서울특별시,서울특별시 금천구,간접,지방공단,금천구시설관리공단
27,기초,수도권,서울특별시,서울특별시 영등포구,간접,지방공단,영등포구시설관리공단
28,기초,수도권,서울특별시,서울특별시 동작구,간접,지방공단,동작구시설관리공단
29,기초,수도권,서울특별시,서울특별시 관악구,간접,지방공단,관악구시설관리공단
30,기초,수도권,서울특별시,서울특별시 강남구,간접,지방공단,강남구도시관리공단(시설)
31,기초,수도권,서울특별시,서울특별시 송파구,간접,지방공단,송파구시설관리공단
32,기초,수도권,서울특별시,서울특별시 강동구,간접,지방공단,강동구도시관리공단(시설)
33,광역,비수도권,부산광역시,부산광역시,직영,상수도,부산광역시상수도
34,광역,비수도권,부산광역시,부산광역시,직영,하수도,부산광역시하수도
35,광역,비수도권,부산광역시,부산광역시,간접,도시철도공사,부산교통공사
36,광역,비수도권,부산광역시,부산광역시,간접,도시개발공사,부산도시공사
37,광역,비수도권,부산광역시,부산광역시,간접,기타공사,부산관광공사
38,광역,비수도권,부산광역시,부산광역시,간접,지방공단,부산시설공단
39,광역,비수도권,부산광역시,부산광역시,간접,지방공단,부산환경공단
40,기초,비수도권,부산광역시,부산광역시 남구,간접,지방공단,부산광역시 남구 시설관리공단
41,기초,비수도권,부산광역시,부산광역시 기장군,간접,지방공단,기장군도시관리공단(시설)
42,광역,비수도권,대구광역시,대구광역시,직영,상수도,대구광역시상수도
43,광역,비수도권,대구광역시,대구광역시,직영,하수도,대구광역시하수도
44,광역,비수도권,대구광역시,대구광역시,간접,도시철도공사,대구교통공사
45,광역,비수도권,대구광역시,대구광역시,간접,도시개발공사,대구도시개발공사
46,광역,비수도권,대구광역시,대구광역시,간접,지방공단,대구공공시설관리공단
